system,f1,ci_low,ci_high
all_evidence,0.8943338437978561,0.8682890695573622,0.9185872360947379
api_only,0.0,0.0,0.0
ast_only,0.0,0.0,0.0
cfg_only,0.0,0.0,0.0
dynamic_only,0.9036144578313253,0.8785046728971962,0.9253354642313546
example_without_api_mismatch_score,0.8725038402457758,0.8443718108029507,0.8986087900489313
example_without_api_similarity,0.8759571209800919,0.8483824271795648,0.9011645851277634
example_without_ast_depth_similarity,0.8725038402457758,0.8443718108029507,0.8986087900489313
example_without_ast_shape_similarity,0.8725038402457758,0.8443718108029507,0.8986087900489313
example_without_ast_similarity,0.8742331288343558,0.8463889558717145,0.9007717473366328
example_without_branch_count_similarity,0.8725038402457758,0.8443718108029507,0.8986087900489313
example_without_call_similarity,0.8725038402457758,0.8443718108029507,0.8986087900489313
example_without_control_flow_similarity,0.8725038402457758,0.8443718108029507,0.8986087900489313
example_without_data_flow_similarity,0.8725038402457758,0.8443718108029507,0.8986087900489313
example_without_edit_similarity,0.8725038402457758,0.8443718108029507,0.8986087900489313
example_without_identifier_role_similarity,0.8759571209800919,0.8483824271795648,0.9011645851277634
example_without_identifier_similarity,0.8725038402457758,0.8443718108029507,0.8986087900489313
example_without_length_ratio,0.8793893129770992,0.8529862882014446,0.9041716466561635
example_without_loop_count_similarity,0.8725038402457758,0.8443718108029507,0.8986087900489313
example_without_nesting_depth_similarity,0.8725038402457758,0.8443718108029507,0.8986087900489313
example_without_operator_pattern_similarity,0.8793893129770992,0.8529862882014446,0.9041716466561635
example_without_retrieval_similarity,0.8725038402457758,0.8443718108029507,0.8986087900489313
example_without_return_count_similarity,0.8759571209800919,0.8495832405600451,0.9009042277136812
example_without_syntax_proxy,0.8759571209800919,0.8483824271795648,0.9011645851277634
example_without_token_jaccard,0.8793893129770992,0.8529862882014446,0.9041716466561635
example_without_type_similarity,0.8703703703703703,0.8431022440976879,0.8965566014729552
execution_example_only,0.8793893129770992,0.8529862882014446,0.9041716466561635
execution_full_only,0.9036144578313253,0.8785046728971962,0.9253354642313546
identifier_only,0.2506265664160401,0.19170825323675064,0.305422140120416
lexical_only,0.36160714285714285,0.3051361613863705,0.41892312436918244
lexical_plus_semantic_static,0.3561643835616438,0.2981500335645558,0.41739230155564416
lexical_plus_structural,0.39293598233995586,0.33260292802239727,0.45244126211655833
lexical_plus_syntactic,0.459958932238193,0.40259602685450147,0.5168129588254069
retrieval_only,0.1945945945945946,0.1367041198501873,0.24719544648137196
semantic_static_only,0.25252525252525254,0.1938758800784857,0.30731447393915906
semantic_static_plus_structural,0.36027713625866054,0.30160779852679476,0.4168561641792529
semantic_static_plus_syntactic,0.47107438016528924,0.4144972451790634,0.5261276978761705
static_only,0.5261044176706827,0.46705228851152986,0.5825715790001504
static_plus_example_execution,0.8725038402457758,0.8443718108029507,0.8986087900489313
static_plus_full_execution,0.8892307692307693,0.861289164994598,0.9134328358208955
static_without_api_mismatch_score,0.5121951219512195,0.45797429141147983,0.5673310204279683
static_without_api_similarity,0.5131313131313131,0.45651036929234123,0.5684298571708081
static_without_ast_depth_similarity,0.5231388329979879,0.4636349207710984,0.5796725423647313
static_without_ast_shape_similarity,0.5092402464065708,0.45021645021645024,0.5649005729158402
static_without_ast_similarity,0.5248508946322068,0.4644332290858891,0.579057169919593
static_without_branch_count_similarity,0.5222672064777328,0.4638182009690331,0.577521050521251
static_without_call_similarity,0.5261044176706827,0.46705228851152986,0.5825715790001504
static_without_control_flow_similarity,0.5141700404858299,0.4566448026042266,0.5686570477247502
static_without_data_flow_similarity,0.5121951219512195,0.4570130093908848,0.5690078392944635
static_without_edit_similarity,0.5261044176706827,0.46705228851152986,0.5825715790001504
static_without_identifier_role_similarity,0.5061224489795918,0.449870350321451,0.5636026212469716
static_without_identifier_similarity,0.5298804780876494,0.4724689114642406,0.5841749586233026
static_without_length_ratio,0.5173116089613035,0.46184773988897704,0.5703558619103409
static_without_loop_count_similarity,0.5238095238095238,0.4657817109144543,0.57615151621262
static_without_nesting_depth_similarity,0.5102040816326531,0.45453085458438774,0.5655853696257346
static_without_operator_pattern_similarity,0.47443762781186094,0.420162826045179,0.5316997056633214
static_without_retrieval_similarity,0.5261044176706827,0.46705228851152986,0.5825715790001504
static_without_return_count_similarity,0.5204918032786885,0.46217204301075265,0.5757141585455284
static_without_syntax_proxy,0.4113785557986871,0.3476389740445534,0.4688187658947932
static_without_token_jaccard,0.49387755102040815,0.43932554120429324,0.5458341054387102
static_without_type_similarity,0.5201612903225806,0.46086364082389986,0.5742734597346374
structural_only,0.2805194805194805,0.21726773304071353,0.34011479985673176
structural_plus_syntactic,0.4146868250539957,0.3518441541303774,0.4684796688032853
syntactic_only,0.0960960960960961,0.05487387871599081,0.14364720264177303
syntax_only,0.0,0.0,0.0
