system,f1,ci_low,ci_high
all_evidence,0.9036144578313253,0.8785046728971962,0.9253354642313546
api_only,0.0,0.0,0.0
ast_only,0.0,0.0,0.0
cfg_only,0.0,0.0,0.0
example_without_api_similarity,0.8793893129770992,0.8529862882014446,0.9041716466561635
example_without_ast_similarity,0.8793893129770992,0.8529862882014446,0.9041716466561635
example_without_control_flow_similarity,0.8793893129770992,0.8529862882014446,0.9041716466561635
example_without_identifier_similarity,0.8793893129770992,0.8529862882014446,0.9041716466561635
example_without_length_ratio,0.8793893129770992,0.8529862882014446,0.9041716466561635
example_without_retrieval_similarity,0.8793893129770992,0.8529862882014446,0.9041716466561635
example_without_syntax_proxy,0.8793893129770992,0.8529862882014446,0.9041716466561635
execution_example_only,0.8793893129770992,0.8529862882014446,0.9041716466561635
execution_full_only,0.9036144578313253,0.8785046728971962,0.9253354642313546
identifier_only,0.2506265664160401,0.19170825323675064,0.305422140120416
retrieval_only,0.1945945945945946,0.1367041198501873,0.24719544648137196
static_only,0.453781512605042,0.39429806805932877,0.509104535721238
static_plus_example_execution,0.8793893129770992,0.8529862882014446,0.9041716466561635
static_plus_full_execution,0.9036144578313253,0.8785046728971962,0.9253354642313546
static_without_api_similarity,0.453781512605042,0.39429806805932877,0.509104535721238
static_without_ast_similarity,0.4416135881104034,0.3822791595197256,0.4979772961816305
static_without_control_flow_similarity,0.42857142857142855,0.36964639844038855,0.48485173624658606
static_without_identifier_similarity,0.3627906976744186,0.3025964366026639,0.42082132235186454
static_without_length_ratio,0.43923240938166314,0.38049424732010595,0.4957636020509899
static_without_retrieval_similarity,0.4425531914893617,0.38406674737393015,0.49897771251508855
static_without_syntax_proxy,0.2731707317073171,0.21242738263463654,0.33101995565410197
syntax_only,0.0,0.0,0.0
